ghsa_id,split,severity,cwe_ids,semgrep_pro,codeql_secext
GHSA-q2gc-xjqw-qp89,test,high,,0,0
GHSA-q2qc-744p-66r2,train,high,,0,0
GHSA-q3jj-46pq-826r,test,medium,,0,0
GHSA-q447-rj3r-2cgh,train,high,CWE-400,1,0
GHSA-q6qf-4p5j-r25g,train,medium,CWE-200;CWE-284,0,0
GHSA-q8ff-7ffm-m3r9,test,medium,CWE-613,0,0
GHSA-qcc3-jqwp-5vh2,test,low,,0,0
GHSA-qcj9-wwgw-6gm8,train,high,,0,0
GHSA-qf48-qfv4-jjm9,test,medium,CWE-22;CWE-863,1,0
GHSA-qhrr-grqp-6x2g,train,medium,CWE-426,1,1
GHSA-qj22-xqjr-v83v,train,medium,CWE-863,0,0
GHSA-qj77-c3c8-9c3q,train,high,CWE-78,1,1
GHSA-qm2m-28pf-hgjw,train,high,CWE-266;CWE-863,0,0
GHSA-qm77-8qjp-4vcm,test,medium,,0,0
GHSA-qm9x-v7cx-7rq4,train,high,CWE-863,0,0
GHSA-qmwg-qprg-3j38,test,high,CWE-693,0,1
GHSA-qpjj-47vm-64pj,train,high,,0,0
GHSA-qqq7-4hxc-x63c,test,high,CWE-668,0,0
GHSA-qrp5-gfw2-gxv4,test,medium,,0,0
GHSA-qrq5-wjgg-rvqw,train,critical,CWE-22,0,0
GHSA-qw99-grcx-4pvm,test,medium,CWE-284,1,1
GHSA-qx8j-g322-qj6m,test,high,,0,0
GHSA-qxgf-hmcj-3xw3,test,high,,0,0
GHSA-r294-2894-92j3,train,medium,CWE-79,1,0
GHSA-r39h-4c2p-3jxp,test,high,CWE-94,0,0
GHSA-r54r-wmmq-mh84,train,medium,CWE-59;CWE-367,0,1
GHSA-r5fq-947m-xm57,train,high,CWE-22,0,0
GHSA-r5h9-vjqc-hq3r,train,high,,1,1
GHSA-r65x-2hqr-j5hf,train,high,CWE-290;CWE-863,1,0
GHSA-r6qf-8968-wj9q,test,medium,CWE-436;CWE-863,0,0
GHSA-r6xh-pqhr-v4xh,test,high,CWE-284,0,0
GHSA-r77c-2cmr-7p47,test,medium,,0,0
GHSA-r7vr-gr74-94p8,test,high,CWE-285,0,0
GHSA-r9q5-c7qc-p26w,test,medium,CWE-294,0,0
GHSA-rchv-x836-w7xp,train,high,,0,0
GHSA-rf6h-5gpw-qrgq,train,medium,CWE-288;CWE-863,0,0
GHSA-rfqg-qgf8-xr9x,train,low,,0,0
GHSA-rg8m-3943-vm6q,train,medium,,0,0
GHSA-rhfg-j8jq-7v2h,train,high,CWE-918,0,0
GHSA-rj2p-j66c-mgqh,test,high,CWE-918,0,0
GHSA-rm2p-j3r7-4x4j,test,low,CWE-863,0,0
GHSA-rm59-992w-x2mv,train,medium,CWE-400,1,0
GHSA-rm5c-4rmf-vvhw,train,medium,,0,0
GHSA-rmxw-jxxx-4cpc,train,medium,,0,0
GHSA-rq6g-px6m-c248,test,high,CWE-284;CWE-639,1,0
GHSA-rqp8-q22p-5j9q,train,medium,CWE-285,0,0
GHSA-rqpp-rjj8-7wv8,test,critical,CWE-269;CWE-862,0,0
GHSA-rv2q-f2h5-6xmg,train,medium,CWE-863,0,0
GHSA-rv39-79c4-7459,test,high,CWE-306,1,1
GHSA-rvvf-6vh3-9j43,train,low,,0,0
GHSA-rwj8-p9vq-25gv,train,high,CWE-22,0,0
GHSA-rx3g-mvc3-qfjf,train,medium,CWE-22;CWE-59,0,1
GHSA-rxmx-g7hr-8mx4,test,medium,CWE-349;CWE-440,0,0
GHSA-rxxp-482v-7mrh,test,medium,CWE-400;CWE-770,1,1
GHSA-v2v2-f783-358j,test,medium,,0,0
GHSA-v3j7-34xh-6g3w,test,medium,CWE-290;CWE-306,1,0
GHSA-v3qc-wrwx-j3pw,train,high,CWE-285,0,0
GHSA-v6c6-vqqg-w888,train,high,,1,0
GHSA-v6x2-2qvm-6gv8,test,low,,1,0
GHSA-v773-r54f-q32w,train,medium,,0,0
GHSA-v865-p3gq-hw6m,train,medium,CWE-288,1,0
GHSA-v892-hwpg-jwqp,train,high,CWE-22,0,0
GHSA-v8cg-4474-49v8,train,medium,CWE-863,0,0
GHSA-v8qf-fr4g-28p2,test,low,CWE-863,0,0
GHSA-v8wv-jg3q-qwpq,test,high,,0,0
GHSA-vc32-h5mq-453v,test,medium,,0,0
GHSA-vcx4-4qxg-mfp4,train,medium,CWE-307;CWE-521,0,0
GHSA-vffc-f7r7-rx2w,test,high,CWE-77,0,0
GHSA-vfg3-pqpq-93m4,train,medium,CWE-863,1,0
GHSA-vfp4-8x56-j7c5,test,high,,1,1
GHSA-vfw7-6rhc-6xxg,train,high,CWE-426,0,0
GHSA-vhwf-4x96-vqx2,train,medium,CWE-367,0,0
GHSA-vj3g-5px3-gr46,train,medium,CWE-22,1,1
GHSA-vjp8-wprm-2jw9,test,low,CWE-863,1,0
GHSA-vjx8-8p7h-82gr,train,medium,,0,0
GHSA-vmqr-rc7x-3446,train,medium,CWE-15;CWE-78,0,0
GHSA-vqvg-86cc-cg83,train,medium,CWE-862,0,0
GHSA-vqx8-9xxw-f2m7,train,medium,CWE-294;CWE-863,1,1
GHSA-vr7j-g7jv-h5mp,train,medium,CWE-276;CWE-732,0,1
GHSA-vvgp-4c28-m3jm,test,medium,CWE-807,0,0
GHSA-vvjh-f6p9-5vcf,train,high,CWE-291,1,0
GHSA-vw3h-q6xq-jjm5,test,medium,CWE-400;CWE-770,1,0
GHSA-w235-x559-36mg,train,medium,CWE-250,0,0
GHSA-w2cg-vxx6-5xjg,train,medium,CWE-400,0,0
GHSA-w45g-5746-x9fp,test,medium,,0,0
GHSA-w5c7-9qqw-6645,test,medium,,0,0
GHSA-w6wx-jq6j-6mcj,test,high,CWE-863,0,0
